,Location,Date,Time,People
265,c,010919,095639,0
266,c,010919,095641,0
267,c,010919,095643,0
268,c,010919,095645,0
269,c,010919,095647,1
270,c,010919,095649,1
271,c,010919,095651,1
272,c,010919,095653,1
273,c,010919,095655,1
274,c,010919,095657,1
275,c,010919,095659,1
276,c,010919,095701,1
277,c,010919,095703,1
278,c,010919,095705,0
279,c,010919,095707,0
280,c,010919,095709,0
281,c,010919,095711,0
282,c,010919,095714,0
283,c,010919,095716,0
284,c,010919,095718,0
285,c,010919,095720,0
286,c,010919,095722,0
287,c,010919,095724,0
288,c,010919,095726,0
289,c,010919,095728,0
290,c,010919,095730,0
291,c,010919,095733,0
292,c,010919,095735,0
293,c,010919,095737,0
294,c,010919,095739,0
295,c,010919,095741,0
296,c,010919,095743,0
297,c,010919,095745,0
298,c,010919,095747,0
299,c,010919,095749,0
300,c,010919,095751,0
301,c,010919,095753,0
302,c,010919,095756,1
303,c,010919,095758,1
304,c,010919,095800,1
305,c,010919,095802,1
306,c,010919,095804,2
307,c,010919,095806,2
308,c,010919,095808,2
309,c,010919,095810,3
310,c,010919,095812,1
311,c,010919,095814,2
312,c,010919,095816,3
313,c,010919,095818,3
314,c,010919,095820,3
315,c,010919,095822,3
316,c,010919,095824,2
317,c,010919,095827,3
318,c,010919,095829,1
319,c,010919,095831,1
320,c,010919,095833,2
321,c,010919,095835,1
322,c,010919,095837,1
323,c,010919,095839,1
324,c,010919,095841,0
325,c,010919,095843,0
326,c,010919,095846,0
327,c,010919,095849,0
328,c,010919,095851,0
329,c,010919,095853,0
330,c,010919,095855,0
331,c,010919,095857,0
332,c,010919,095859,0
333,c,010919,095901,0
334,c,010919,095903,0
335,c,010919,095905,0
336,c,010919,095907,1
337,c,010919,095909,1
338,c,010919,095911,1
339,c,010919,095913,1
340,c,010919,095915,2
341,c,010919,095917,2
342,c,010919,095919,2
343,c,010919,095921,2
344,c,010919,095923,1
345,c,010919,095925,1
346,c,010919,095928,1
347,c,010919,095930,1
348,c,010919,095932,1
349,c,010919,095934,1
350,c,010919,095936,0
351,c,010919,095938,0
352,c,010919,095940,2
353,c,010919,095942,2
354,c,010919,095944,1
355,c,010919,095946,1
356,c,010919,095948,1
357,c,010919,095951,1
358,c,010919,095953,1
359,c,010919,095955,2
360,c,010919,095957,0
361,c,010919,095959,0
362,c,010919,110000,12
363,c,010919,110003,12
364,c,010919,110006,13
365,c,010919,110008,15
366,c,010919,110011,13
367,c,010919,110014,12
368,c,010919,110016,14
369,c,010919,110019,14
370,c,010919,110021,15
371,c,010919,110024,15
372,c,010919,110026,12
373,c,010919,110029,16
374,c,010919,110032,14
375,c,010919,110034,13
376,c,010919,110037,16
377,c,010919,110039,17
